0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "GET /init/css/feed/main_custom.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "GET /init/css/feed/fc/main.css HTTP/1.1" 200 43069
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "GET /init/js/feed/fc/locales/ko.js HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "GET /init/js/feed/feed_calendar.js HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "GET /init/js/feed/fc/main.js HTTP/1.1" 200 732554
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:45:29 +0900] "POST /init/feed/getAllPlans.do HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "GET /init/feed HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "GET /init/css/feed/fc/main.css HTTP/1.1" 200 43069
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "GET /init/css/feed/main_custom.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:43 +0900] "POST /init/feed/getAllPlans.do HTTP/1.1" 200 498
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:48:44 +0900] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:02 +0900] "POST /init/feed/modify_modal.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:11 +0900] "POST /init/feed/modify_modal.do HTTP/1.1" 200 6713
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "POST /init/plan HTTP/1.1" 200 12192
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "GET /init/js/plan/plan_detail.js HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "GET /init/css/plan/kakaomap/kakaomap.css HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "GET /init/css/plan/plan_detail.css HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "GET /init/css/header.css HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "GET /init/css/footer.css HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:49:39 +0900] "GET /init/js/plan/kakaomap/kakaomap.js HTTP/1.1" 200 14888
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "POST /init/plan/detail.do HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/feed HTTP/1.1" 200 13998
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/js/feed/fc/main.js HTTP/1.1" 200 732554
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/css/feed/main_custom.css HTTP/1.1" 200 3466
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/css/header.css HTTP/1.1" 200 350
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/css/footer.css HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "-" 400 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/js/feed/fc/locales/ko.js HTTP/1.1" 200 440
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/js/feed/feed_calendar.js HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "GET /init/css/feed/fc/main.css HTTP/1.1" 200 43069
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:20 +0900] "POST /init/feed/getAllPlans.do HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:55:28 +0900] "POST /init/feed/modify_modal.do HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:56:09 +0900] "POST /init/feed/modify_plan.do HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:56:09 +0900] "POST /init/feed/getAllPlans.do HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:56:16 +0900] "POST /init/feed/modify_modal.do HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:59:23 +0900] "-" 400 -
